# Full  o    Mo      Zo    Md  NB       Age         Mass      logL    logTe      X          Y         C12        O16        Ne20      QCC        logMdot log(rho.c)   logTc      Xc         Yc   
#           Msun                         yr        solMass [solLum]    [K]                                                                  [solMass/yr]    [g/cm3]    [K]                       
#
    1     120.00  0.020   1   1   7.200548e+03  119.9626    6.252   4.727   0.680000   0.300000   0.004466   0.010607   0.001420   0.8673       -5.470      0.171   7.638   0.678438   0.300903
    2     120.00  0.020   1   2   3.189035e+05  118.4764    6.265   4.713   0.680000   0.300000   0.004466   0.010607   0.001420   0.8339       -5.242      0.138   7.629   0.621265   0.358801
    3     120.00  0.020   1   3   7.233018e+05  115.5329    6.282   4.698   0.680000   0.300000   0.004466   0.010607   0.001420   0.7934       -5.046      0.139   7.630   0.539570   0.440825
    4     120.00  0.020   1   4   1.081142e+06  111.4817    6.295   4.678   0.680000   0.300000   0.004466   0.010607   0.001420   0.7671       -4.854      0.154   7.634   0.459125   0.521400
    5     120.00  0.020   1   5   1.399321e+06  105.8690    6.306   4.651   0.671574   0.307921   0.000133   0.009223   0.001420   0.7534       -4.670      0.177   7.640   0.380408   0.600175
    6     120.00  0.020   1   6   1.693356e+06   98.9620    6.316   4.642   0.598277   0.381919   0.000204   0.003733   0.001420   0.7489       -4.596      0.208   7.648   0.300421   0.680190
    7     120.00  0.020   1   7   1.958660e+06   91.7285    6.326   4.635   0.515084   0.465362   0.000234   0.001777   0.001420   0.7489       -4.536      0.247   7.658   0.220829   0.759798
    8     120.00  0.020   1   8   2.140584e+06   86.2386    6.335   4.634   0.443671   0.536868   0.000247   0.001053   0.001420   0.7510       -4.507      0.284   7.668   0.161031   0.819603
    9     120.00  0.020   1   9   2.247918e+06   82.8262    6.341   4.389   0.397856   0.582717   0.000253   0.000794   0.001420   0.7532       -4.398      0.313   7.676   0.123381   0.857256
   10     120.00  0.020   1  10   2.425140e+06   75.7371    6.350   4.405   0.300927   0.679685   0.000265   0.000504   0.001420   0.7667       -4.398      0.394   7.699   0.056239   0.924406
   11     120.00  0.020   1  11   2.521847e+06   71.8688    6.358   4.425   0.244334   0.736289   0.000272   0.000420   0.001420   0.7722       -4.398      0.503   7.733   0.016518   0.964135
   12     120.00  0.020   1  12   2.554416e+06   70.5660    6.364   4.445   0.225964   0.754662   0.000274   0.000400   0.001420   0.7784       -4.398      0.659   7.784   0.002614   0.978051
   13     120.00  0.020   1  13   2.561435e+06   70.2852    6.387   4.517   0.222062   0.758564   0.000274   0.000396   0.001420   0.7133       -4.398      1.319   8.003   0.000000   0.980682
   14     120.00  0.020   1  14   2.562656e+06   70.2364    6.405   4.549   0.221351   0.759276   0.000274   0.000396   0.001420   0.6681       -4.398      1.772   8.152   0.000000   0.980669
   15     120.00  0.020   1  15   2.563572e+06   70.1998    6.415   4.520   0.220832   0.759794   0.000274   0.000395   0.001420   0.6321       -4.398      1.945   8.207   0.000000   0.980617
   16     120.00  0.020   1  16   2.564182e+06   70.1754    6.426   4.478   0.220472   0.760155   0.000274   0.000395   0.001420   0.6390       -4.398      2.038   8.236   0.000000   0.980429
   17     120.00  0.020   1  17   2.564793e+06   70.1509    6.433   4.430   0.219766   0.760861   0.000275   0.000394   0.001420   0.6560       -4.398      2.091   8.252   0.000000   0.979805
   18     120.00  0.020   1  18   2.565098e+06   70.1387    6.436   4.405   0.219351   0.761276   0.000275   0.000394   0.001420   0.6635       -4.398      2.106   8.257   0.000000   0.979353
   19     120.00  0.020   1  19   2.565708e+06   70.0777    6.450   4.322   0.197014   0.783615   0.000277   0.000375   0.001420   0.6755       -4.000      2.121   8.262   0.000000   0.978948
   20     120.00  0.020   1  20   2.566929e+06   69.9556    6.460   4.285   0.196196   0.784434   0.000277   0.000374   0.001420   0.6867       -4.000      2.140   8.268   0.000000   0.978108
   21     120.00  0.020   1  21   2.568455e+06   69.8030    6.465   4.250   0.190979   0.789651   0.000278   0.000370   0.001420   0.6932       -4.000      2.159   8.274   0.000000   0.977156
   22     120.00  0.020   1  22   2.583715e+06   68.2770    6.478   4.288   0.154962   0.825672   0.000280   0.000348   0.001420   0.7271       -4.000      2.308   8.324   0.000000   0.952480
   23     120.00  0.020   1  23   2.595166e+06   67.1678    6.484   4.511   0.107129   0.873512   0.000300   0.000323   0.001420   0.7559       -4.398      2.343   8.337   0.000000   0.901268
   24     120.00  0.020   1  24   2.605825e+06   66.7414    6.483   4.542   0.106686   0.873955   0.000299   0.000322   0.001420   0.7739       -4.398      2.349   8.340   0.000000   0.851236
   25     120.00  0.020   1  25   2.616682e+06   66.3071    6.479   4.569   0.106191   0.874447   0.000282   0.000322   0.001420   0.7925       -4.398      2.354   8.343   0.000000   0.802079
   26     120.00  0.020   1  26   2.628538e+06   65.8329    6.473   4.598   0.105735   0.874893   0.000227   0.000322   0.001420   0.8129       -4.398      2.361   8.347   0.000000   0.750238
   27     120.00  0.020   1  27   2.640508e+06   65.3541    6.464   4.626   0.104555   0.876074   0.000241   0.000322   0.001420   0.8333       -4.398      2.369   8.350   0.000000   0.700474
   28     120.00  0.020   1  28   2.653276e+06   64.8433    6.454   4.654   0.097434   0.883201   0.000273   0.000322   0.001420   0.8546       -4.398      2.377   8.354   0.000000   0.649908
   29     120.00  0.020   1  29   2.666044e+06   64.3326    6.448   4.692   0.067887   0.912755   0.000303   0.000311   0.001420   0.8764       -4.398      2.386   8.357   0.000000   0.601483
   30     120.00  0.020   1  30   2.678811e+06   63.8219    6.443   4.731   0.012828   0.967825   0.000335   0.000282   0.001420   0.8998       -4.398      2.398   8.362   0.000000   0.549246
   31     120.00  0.020   1  31   2.690294e+06   62.3871    6.427   4.102   0.000000   0.505383   0.346471   0.120803   0.001348   0.8660       -2.502      2.378   8.354   0.000000   0.502802
   32     120.00  0.020   1  32   2.715526e+06   30.7862    6.022   4.325   0.000000   0.467556   0.360440   0.144625   0.001348   0.8321       -3.273      2.547   8.344   0.000000   0.450145
   33     120.00  0.020   1  33   2.735965e+06   23.1689    5.847   4.402   0.000000   0.428632   0.375256   0.168701   0.001348   0.8140       -3.571      2.627   8.343   0.000000   0.398656
   34     120.00  0.020   1  34   2.756404e+06   18.9900    5.722   4.455   0.000000   0.391915   0.387468   0.193177   0.001349   0.7982       -3.791      2.688   8.343   0.000000   0.349376
   35     120.00  0.020   1  35   2.778206e+06   16.1583    5.617   4.496   0.000000   0.355790   0.397297   0.219443   0.001349   0.7795       -3.969      2.742   8.345   0.000000   0.300117
   36     120.00  0.020   1  36   2.802733e+06   13.9893    5.523   4.531   0.000000   0.318181   0.404554   0.249760   0.001349   0.7616       -4.128      2.797   8.348   0.000000   0.248931
   37     120.00  0.020   1  37   2.828623e+06   12.3548    5.443   4.560   0.000000   0.282311   0.407972   0.282175   0.001350   0.7438       -4.264      2.851   8.353   0.000000   0.199707
   38     120.00  0.020   1  38   2.857074e+06   11.0166    5.368   4.585   0.000000   0.246702   0.407198   0.318515   0.001350   0.7268       -4.384      2.910   8.360   0.000000   0.151589
   39     120.00  0.020   1  39   2.891793e+06    9.7961    5.292   4.612   0.000000   0.206653   0.400119   0.365582   0.001352   0.7060       -4.513      2.985   8.372   0.000000   0.100200
   40     120.00  0.020   1  40   2.932334e+06    8.7329    5.220   4.642   0.000000   0.169124   0.385515   0.417639   0.001354   0.6820       -4.641      3.089   8.395   0.000000   0.049541
   41     120.00  0.020   1  41   2.949641e+06    8.3611    5.195   4.654   0.000000   0.154999   0.377566   0.439678   0.001355   0.6709       -4.689      3.150   8.410   0.000000   0.030701
   42     120.00  0.020   1  42   2.969732e+06    7.9769    5.175   4.673   0.000000   0.135523   0.364110   0.472551   0.001357   0.6559       -4.743      3.260   8.441   0.000000   0.010343
   43     120.00  0.020   1  43   2.981387e+06    7.7738    5.203   4.708   0.000000   0.127637   0.357738   0.486781   0.001359   0.0000       -4.773      3.553   8.534   0.000000   0.000000
   44     120.00  0.020   1  44   2.986089e+06    7.6956    5.277   4.759   0.000000   0.124728   0.355232   0.492185   0.001359   0.0000       -4.784      4.086   8.699   0.000000   0.000000
   45     120.00  0.020   1  45   2.989823e+06    7.6348    5.330   4.776   0.000000   0.120368   0.351331   0.500429   0.001360   0.0000       -4.793      4.555   8.800   0.000000   0.000000
   46     120.00  0.020   1  46   2.990680e+06    7.6211    5.363   4.780   0.000000   0.119934   0.350940   0.501253   0.001360   0.0000       -4.795      4.929   8.855   0.000000   0.000000
   47     120.00  0.020   1  47   2.990829e+06    7.6187    5.377   4.783   0.000000   0.119891   0.350902   0.501333   0.001360   0.0000       -4.795      5.199   8.910   0.000000   0.000000
   48     120.00  0.020   1  48   2.990847e+06    7.6184    5.380   4.785   0.000000   0.119886   0.350897   0.501343   0.001360   0.0000       -4.795      5.259   8.931   0.000000   0.000000
   49     120.00  0.020   1  49   2.990859e+06    7.6182    5.383   4.785   0.000000   0.119883   0.350894   0.501349   0.001360   0.0000       -4.795      5.322   8.946   0.000000   0.000000
   50     120.00  0.020   1  50   2.990871e+06    7.6180    5.386   4.787   0.000000   0.119880   0.350891   0.501356   0.001360   0.0000       -4.795      5.439   8.958   0.000000   0.000000
   51     120.00  0.020   1  51   2.990885e+06    7.6178    5.404   4.793   0.000000   0.119788   0.350773   0.501564   0.001361   0.0000       -4.795      5.898   9.032   0.000000   0.000000
   52     120.00  0.020   2   9   2.247918e+06   82.6321    6.340   4.326   0.396371   0.584203   0.000254   0.000787   0.001420   0.7547       -4.097      0.313   7.676   0.123384   0.857254
   53     120.00  0.020   2  10   2.418308e+06   69.0007    6.326   4.388   0.203196   0.777433   0.000277   0.000380   0.001420   0.8267       -4.097      0.405   7.696   0.060314   0.920330
   54     120.00  0.020   2  11   2.536831e+06   59.5186    6.300   4.438   0.072171   0.908471   0.000300   0.000306   0.001420   0.8692       -4.097      0.548   7.734   0.014599   0.966055
   55     120.00  0.020   2  12   2.569968e+06   56.8676    6.294   4.463   0.044877   0.935770   0.000315   0.000295   0.001420   0.8717       -4.097      0.750   7.798   0.001418   0.979248
   56     120.00  0.020   2  13   2.574307e+06   56.5205    6.317   4.524   0.041366   0.939282   0.000318   0.000293   0.001420   0.8146       -4.097      1.341   7.994   0.000000   0.980680
   57     120.00  0.020   2  14   2.574828e+06   56.4788    6.327   4.547   0.040924   0.939724   0.000318   0.000293   0.001420   0.8042       -4.097      1.579   8.074   0.000000   0.980680
   58     120.00  0.020   2  15   2.575348e+06   56.4372    6.335   4.566   0.040480   0.940168   0.000318   0.000293   0.001420   0.7954       -4.097      1.783   8.141   0.000000   0.980670
   59     120.00  0.020   2  16   2.575869e+06   56.3955    6.340   4.583   0.040050   0.940598   0.000318   0.000293   0.001420   0.7814       -4.097      1.960   8.200   0.000000   0.980623
   60     120.00  0.020   2  17   2.576390e+06   56.3539    6.344   4.594   0.039635   0.941013   0.000318   0.000293   0.001420   0.8082       -4.097      2.081   8.241   0.000000   0.980309
   61     120.00  0.020   2  18   2.576910e+06   56.3122    6.344   4.599   0.039268   0.941379   0.000317   0.000292   0.001420   0.8405       -4.097      2.130   8.257   0.000000   0.979531
   62     120.00  0.020   2  19   2.577431e+06   56.2706    6.344   4.601   0.038914   0.941734   0.000316   0.000292   0.001420   0.8574       -4.097      2.152   8.264   0.000000   0.978587
   63     120.00  0.020   2  20   2.578472e+06   56.1873    6.344   4.606   0.038251   0.942396   0.000312   0.000292   0.001420   0.8637       -4.097      2.198   8.280   0.000000   0.976742
   64     120.00  0.020   2  21   2.579514e+06   56.1040    6.351   4.611   0.037609   0.943037   0.000304   0.000292   0.001420   0.8534       -4.097      2.275   8.305   0.000000   0.974968
   65     120.00  0.020   2  22   2.587324e+06   55.4792    6.344   4.620   0.032005   0.948629   0.000243   0.000290   0.001420   0.8747       -4.097      2.346   8.328   0.000000   0.950631
   66     120.00  0.020   2  23   2.598706e+06   54.5685    6.333   4.626   0.019134   0.961503   0.000254   0.000286   0.001420   0.8921       -4.097      2.367   8.334   0.000000   0.899540
   67     120.00  0.020   2  24   2.610747e+06   53.6052    6.326   4.079   0.000637   0.979555   0.000343   0.000272   0.001420   0.9042       -2.598      2.378   8.337   0.000000   0.845091
   68     120.00  0.020   2  25   2.612321e+06   49.7577    6.273   4.013   0.000000   0.844335   0.121448   0.007135   0.001420   0.8279       -2.446      2.324   8.312   0.000000   0.841952
   69     120.00  0.020   2  26   2.641004e+06   19.4587    5.680   4.299   0.000000   0.812265   0.149700   0.010946   0.001420   0.7730       -3.460      2.583   8.302   0.000000   0.787876
   70     120.00  0.020   2  27   2.675818e+06   12.6071    5.368   4.403   0.000000   0.762325   0.193319   0.017261   0.001420   0.7207       -3.931      2.705   8.293   0.000000   0.708696
   71     120.00  0.020   2  28   2.703408e+06   10.1825    5.204   4.448   0.000000   0.727085   0.223251   0.022565   0.001420   0.6885       -4.165      2.770   8.289   0.000000   0.652023
   72     120.00  0.020   2  29   2.729871e+06    8.7201    5.083   4.478   0.000000   0.697219   0.248008   0.027670   0.001420   0.6648       -4.336      2.820   8.286   0.000000   0.602441
   73     120.00  0.020   2  30   2.760609e+06    7.5538    4.968   4.504   0.000000   0.667688   0.271872   0.033334   0.001420   0.6422       -4.493      2.870   8.284   0.000000   0.549830
   74     120.00  0.020   2  31   2.792182e+06    6.6932    4.870   4.524   0.000000   0.636314   0.296517   0.040060   0.001420   0.6234       -4.625      2.914   8.283   0.000000   0.500595
