# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Fri Apr  5 13:29:59 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.002 -0.88764 6.00000 0.0900000036 1.0816895926    0.090 -1.082  3.5114  3.472    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.43e-14      0.00 7.460e-01 2.520e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.017e-03 7.476 12.078 10.826 9.333 8.178 6.914 5.640 5.055 4.784
0.002 -0.88764 6.00000 0.0991803259 1.1642226788    0.099 -0.990  3.5173  3.445    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.82e-14      0.00 7.459e-01 2.520e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.075e-03 7.245 11.758 10.508 9.023 7.891 6.674 5.427 4.827 4.563
0.002 -0.88764 6.00000 0.1175409779 1.3028897288    0.117 -0.844  3.5260  3.407    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-13      0.00 7.459e-01 2.520e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.080e-03 6.880 11.263 10.018 8.549 7.448 6.297 5.090 4.463 4.211
0.002 -0.88764 6.00000 0.1359016299 1.4159166542    0.136 -0.726  3.5333  3.381    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.32e-13      0.00 7.459e-01 2.520e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.090e-03 6.585 10.866 9.625 8.169 7.093 5.994 4.818 4.167 3.925
0.002 -0.88764 6.00000 0.1424137056 1.4513276715    0.142 -0.693  3.5356  3.378    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-13      0.00 7.459e-01 2.520e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.067e-03 6.502 10.752 9.513 8.061 6.993 5.909 4.741 4.085 3.846
0.002 -0.88764 6.00000 0.1575629562 1.5261323538    0.157 -0.626  3.5404  3.374    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-13      0.00 7.459e-01 2.520e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.065e-03 6.336 10.524 9.287 7.845 6.791 5.739 4.590 3.920 3.686
0.002 -0.88764 6.00000 0.1628569812 1.5500990630    0.162 -0.624  3.5412  3.389    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-13      0.00 7.459e-01 2.520e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.067e-03 6.329 10.505 9.270 7.829 6.777 5.731 4.585 3.916 3.683
0.002 -0.88764 6.00000 0.1679565459 1.5722465796    0.167 -0.613  3.5423  3.396    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-13      0.00 7.459e-01 2.520e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.065e-03 6.302 10.462 9.228 7.789 6.740 5.702 4.561 3.890 3.658
0.002 -0.88764 6.00000 0.1722919941 1.5903989235    0.172 -0.597  3.5436  3.396    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-13      0.00 7.459e-01 2.520e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.052e-03 6.263 10.405 9.172 7.736 6.692 5.662 4.526 3.851 3.621
0.002 -0.88764 6.00000 0.1778233498 1.6127145896    0.177 -0.567  3.5457  3.389    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.65e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.038e-03 6.188 10.304 9.073 7.641 6.603 5.587 4.458 3.776 3.549
0.002 -0.88764 6.00000 0.1867161989 1.6467632814    0.186 -0.510  3.5496  3.368    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.89e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.021e-03 6.045 10.114 8.884 7.462 6.436 5.443 4.327 3.630 3.410
0.002 -0.88764 6.00000 0.1942216158 1.6738993707    0.193 -0.482  3.5518  3.366    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.013e-03 5.975 10.014 8.786 7.370 6.350 5.372 4.264 3.560 3.343
0.002 -0.88764 6.00000 0.2154485583 1.7438035730    0.214 -0.482  3.5543  3.421    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.76e-13      0.00 7.459e-01 2.520e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.051e-03 5.976 9.970 8.750 7.337 6.325 5.367 4.273 3.572 3.355
