# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Wed May 15 05:53:33 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.002 -0.88764 6.17609 0.0900000036 1.0816895926    0.090 -1.107  3.5100  3.491    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.95e-14      0.00 7.459e-01 2.520e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.063e-03 7.537 12.163 10.908 9.411 8.251 6.977 5.697 5.117 4.844
0.002 -0.88764 6.17609 0.0991803259 1.1642226788    0.099 -1.022  3.5156  3.471    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.05e-14      0.00 7.459e-01 2.520e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.096e-03 7.325 11.865 10.613 9.124 7.985 6.756 5.502 4.908 4.642
0.002 -0.88764 6.17609 0.1189437285 1.3123138927    0.119 -0.889  3.5242  3.450    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.97e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.028e-03 6.992 11.402 10.155 8.679 7.572 6.409 5.195 4.578 4.323
0.002 -0.88764 6.17609 0.1240174696 1.3452311341    0.124 -0.878  3.5252  3.461    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.89e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.035e-03 6.965 11.359 10.113 8.638 7.534 6.379 5.171 4.553 4.298
0.002 -0.88764 6.17609 0.1307715774 1.3864298675    0.130 -0.834  3.5280  3.452    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.67e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.030e-03 6.856 11.208 9.964 8.495 7.401 6.266 5.071 4.444 4.193
0.002 -0.88764 6.17609 0.1373941451 1.4242247435    0.137 -0.796  3.5304  3.445    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.017e-03 6.761 11.078 9.836 8.371 7.285 6.168 4.983 4.350 4.102
0.002 -0.88764 6.17609 0.1414343566 1.4461381528    0.141 -0.799  3.5306  3.461    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.97e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.025e-03 6.769 11.082 9.840 8.375 7.290 6.175 4.991 4.360 4.112
0.002 -0.88764 6.17609 0.1446967572 1.4632473465    0.144 -0.797  3.5310  3.471    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.8e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.032e-03 6.763 11.070 9.829 8.364 7.280 6.168 4.987 4.355 4.107
0.002 -0.88764 6.17609 0.1485220939 1.4826810592    0.148 -0.785  3.5320  3.474    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.91e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.036e-03 6.732 11.025 9.785 8.321 7.241 6.136 4.959 4.325 4.079
0.002 -0.88764 6.17609 0.1541904658 1.5103118547    0.154 -0.751  3.5343  3.465    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.027e-03 6.647 10.909 9.670 8.212 7.138 6.049 4.881 4.241 3.997
0.002 -0.88764 6.17609 0.1585784256 1.5308099428    0.158 -0.740  3.5354  3.471    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.025e-03 6.621 10.868 9.630 8.173 7.103 6.022 4.858 4.216 3.973
